timestamp;location;day;report_case_id;simpler_event_type;
09/05/2025 08:51;home;09/05/2025;1;notification_RECEIVED;
09/05/2025 08:51;home;09/05/2025;1;notification_READ;
09/05/2025 08:52;home;09/05/2025;1;self-report_high;
09/05/2025 11:55;other;09/05/2025;2;notification_RECEIVED;
09/05/2025 11:55;other;09/05/2025;2;notification_READ;
09/05/2025 11:55;other;09/05/2025;2;self-report_high;
09/05/2025 15:00;other;09/05/2025;3;notification_RECEIVED;
09/05/2025 15:00;other;09/05/2025;3;notification_READ;
09/05/2025 15:01;other;09/05/2025;3;self-report_low;
09/05/2025 18:09;invalid;09/05/2025;5;notification_RECEIVED;
09/05/2025 19:30;other;09/05/2025;5;notification_READ;
09/05/2025 19:30;other;09/05/2025;5;self-report_low;
10/05/2025 09:09;invalid;10/05/2025;6;notification_RECEIVED;
10/05/2025 09:09;invalid;10/05/2025;6;notification_READ;
10/05/2025 09:09;invalid;10/05/2025;6;self-report_low;
10/05/2025 12:10;other;10/05/2025;7;notification_RECEIVED;
10/05/2025 12:10;other;10/05/2025;7;notification_READ;
10/05/2025 12:10;other;10/05/2025;7;self-report_low;
10/05/2025 15:13;home;10/05/2025;8;notification_RECEIVED;
10/05/2025 15:13;home;10/05/2025;8;notification_READ;
10/05/2025 15:14;home;10/05/2025;8;self-report_low;
10/05/2025 18:15;invalid;10/05/2025;9;notification_RECEIVED;
10/05/2025 18:15;invalid;10/05/2025;9;notification_READ;
10/05/2025 18:15;invalid;10/05/2025;9;self-report_high;
10/05/2025 21:15;other;10/05/2025;11;notification_RECEIVED;
10/05/2025 21:15;other;10/05/2025;11;notification_READ;
10/05/2025 21:15;other;10/05/2025;11;self-report_low;
11/05/2025 08:52;home;11/05/2025;12;notification_RECEIVED;
11/05/2025 08:52;home;11/05/2025;12;notification_READ;
11/05/2025 08:52;home;11/05/2025;12;self-report_low;
11/05/2025 11:54;other;11/05/2025;13;notification_RECEIVED;
11/05/2025 11:54;other;11/05/2025;13;notification_READ;
11/05/2025 11:54;other;11/05/2025;13;self-report_low;
11/05/2025 14:55;home;11/05/2025;16;notification_RECEIVED;
11/05/2025 14:55;home;11/05/2025;16;notification_READ;
11/05/2025 14:55;home;11/05/2025;16;self-report_low;
11/05/2025 17:55;in_transit;11/05/2025;17;notification_RECEIVED;
11/05/2025 20:58;invalid;11/05/2025;80;notification_RECEIVED;
11/05/2025 21:02;invalid;11/05/2025;80;notification_READ;
11/05/2025 21:02;invalid;11/05/2025;80;self-report_low;
12/05/2025 08:31;home;12/05/2025;18;notification_RECEIVED;
12/05/2025 08:31;home;12/05/2025;18;notification_READ;
12/05/2025 08:31;home;12/05/2025;18;self-report_low;
12/05/2025 11:35;other;12/05/2025;19;notification_RECEIVED;
12/05/2025 11:35;other;12/05/2025;19;notification_READ;
12/05/2025 11:35;other;12/05/2025;19;self-report_high;
12/05/2025 14:55;home;12/05/2025;20;notification_RECEIVED;
12/05/2025 14:57;home;12/05/2025;20;notification_READ;
12/05/2025 14:57;home;12/05/2025;20;self-report_high;
12/05/2025 18:15;home;12/05/2025;21;notification_RECEIVED;
12/05/2025 20:16;in_transit;12/05/2025;21;notification_READ;
12/05/2025 21:21;home;12/05/2025;53;notification_RECEIVED;
12/05/2025 21:21;home;12/05/2025;53;notification_READ;
12/05/2025 21:21;home;12/05/2025;53;self-report_high;
13/05/2025 08:44;invalid;13/05/2025;22;notification_RECEIVED;
13/05/2025 08:45;invalid;13/05/2025;22;notification_READ;
13/05/2025 08:45;invalid;13/05/2025;22;self-report_high;
13/05/2025 11:46;invalid;13/05/2025;23;notification_RECEIVED;
13/05/2025 11:46;invalid;13/05/2025;23;notification_READ;
13/05/2025 11:46;invalid;13/05/2025;23;self-report_low;
13/05/2025 14:55;invalid;13/05/2025;24;notification_RECEIVED;
13/05/2025 17:56;other;13/05/2025;25;notification_RECEIVED;
13/05/2025 17:56;other;13/05/2025;25;notification_READ;
13/05/2025 17:56;other;13/05/2025;25;self-report_low;
13/05/2025 20:59;other;13/05/2025;26;notification_RECEIVED;
13/05/2025 21:00;other;13/05/2025;26;notification_READ;
13/05/2025 21:00;other;13/05/2025;26;self-report_low;
14/05/2025 08:04;invalid;14/05/2025;27;notification_RECEIVED;
14/05/2025 11:10;invalid;14/05/2025;28;notification_RECEIVED;
14/05/2025 14:15;invalid;14/05/2025;29;notification_RECEIVED;
14/05/2025 17:15;other;14/05/2025;30;notification_RECEIVED;
14/05/2025 20:35;other;14/05/2025;31;notification_RECEIVED;
15/05/2025 08:35;home;15/05/2025;32;notification_RECEIVED;
15/05/2025 08:35;home;15/05/2025;32;notification_READ;
15/05/2025 08:35;home;15/05/2025;32;self-report_high;
