timestamp;stress;location;event_type;lifecycle;bout_type;action;day;stress_qual;detailed_event_type;simple_event_type;report_case_id;simpler_event_type
11/05/2025 11:34;;other;physical_activity;START;LIGHT_PA;;11/05/2025;;START_LIGHT_PA;physical_activity_;13;physical_activity_START
11/05/2025 11:35;;other;physical_activity;END;LIGHT_PA;;11/05/2025;;END_LIGHT_PA;physical_activity_;13;physical_activity_END
11/05/2025 11:54;40;other;self-report;;;;11/05/2025;low;stress_report_low;self-report_low;13;self-report_low
11/05/2025 13:24;;home;physical_activity;START;LIGHT_PA;;11/05/2025;;START_LIGHT_PA;physical_activity_;16;physical_activity_START
11/05/2025 13:29;;invalid;physical_activity;END;LIGHT_PA;;11/05/2025;;END_LIGHT_PA;physical_activity_;16;physical_activity_END
11/05/2025 13:48;;other;physical_activity;START;LIGHT_PA;;11/05/2025;;START_LIGHT_PA;physical_activity_;16;physical_activity_START
11/05/2025 14:08;;other;physical_activity;END;LIGHT_PA;;11/05/2025;;END_LIGHT_PA;physical_activity_;16;physical_activity_END
11/05/2025 14:55;30;home;self-report;;;;11/05/2025;low;stress_report_low;self-report_low;16;self-report_low
11/05/2025 20:53;;in_transit;physical_activity;START;LIGHT_PA;;11/05/2025;;START_LIGHT_PA;physical_activity_;80;physical_activity_START
11/05/2025 21:02;40;invalid;self-report;;;;11/05/2025;low;stress_report_low;self-report_low;80;self-report_low
11/05/2025 21:12;;invalid;physical_activity;END;LIGHT_PA;;11/05/2025;;END_LIGHT_PA;physical_activity_;80;physical_activity_END
